Код клиента,Общая выручка,Общая прибыль,Количество заказов,Последняя покупка,Средняя прибыль на заказ,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Кумулятивная прибыль,Процент кумулятивной прибыли,ABC,CV,XYZ
9776481.0,1055.73,103.77000000000001,20,2025-06-16 17:38:00,5.1885,35,20,103.77000000000001,3,4,4,11,Чемпионы,38355.389999999985,0.7300689213838636,C,1.077876548465235,Z
7235380.0,592.76,103.48,7,2024-08-01 18:30:24,14.782857142857143,354,7,103.48,1,3,4,8,Лояльные,38458.86999999999,0.7320385932340209,C,0.0,
9204206.0,645.6800000000001,103.20999999999998,11,2025-04-11 17:50:24,9.382727272727271,101,11,103.20999999999998,2,4,4,10,Чемпионы,38562.07999999999,0.7340031258166912,C,0.609027711644413,Z
8506732.0,626.46,102.84000000000002,14,2025-05-24 09:14:44,7.345714285714287,58,14,102.84000000000002,3,4,4,11,Чемпионы,38664.919999999984,0.7359606156994721,C,1.3736738194036238,Z
5559100.0,631.34,102.50999999999999,9,2025-06-14 09:03:43,11.389999999999999,37,9,102.50999999999999,3,3,4,10,Чемпионы,38767.429999999986,0.7379118242553246,C,0.7664205061132766,Z
9301534.0,436.24,102.07,11,2025-04-08 17:19:49,9.27909090909091,104,11,102.07,2,4,4,10,Чемпионы,38869.499999999985,0.7398546577086059,C,0.8622326686774838,Z
7075884.0,674.47,101.43,13,2025-07-11 13:36:52,7.802307692307693,10,13,101.43,4,4,4,12,Чемпионы,38970.929999999986,0.7417853091945109,C,1.5534943285296952,Z
6312256.0,1193.11,100.02999999999999,27,2025-06-10 10:01:48,3.704814814814814,41,27,100.02999999999999,3,4,4,11,Чемпионы,39070.959999999985,0.7436893126267802,C,0.7115662133947831,Z
155187339.0,829.6,95.94000000000001,25,2025-05-12 04:53:04,3.8376000000000006,70,25,95.94000000000001,3,4,4,11,Чемпионы,39166.89999999999,0.7455154656737853,C,0.6556144026054419,Z
156124783.0,852.74,95.53999999999998,2,2024-08-30 10:50:23,47.76999999999999,325,2,95.53999999999998,1,2,4,7,Лояльные,39262.43999999999,0.7473340049911802,C,0.0,
157161233.0,740.63,94.4,12,2025-06-18 07:06:43,7.866666666666667,33,12,94.4,3,4,4,11,Чемпионы,39356.83999999999,0.749130845179186,C,1.0321961276218883,Z
3949685.0,713.84,93.47999999999999,8,2025-07-07 13:07:58,11.684999999999999,14,8,93.47999999999999,4,3,4,11,Чемпионы,39450.31999999999,0.7509101737890885,C,0.790220067353689,Z
6177132.0,705.18,93.44,11,2025-07-10 19:04:11,8.494545454545454,11,11,93.44,4,4,4,12,Чемпионы,39543.759999999995,0.7526887410260299,C,1.233425293548023,Z
7814893.0,595.08,93.39000000000001,10,2025-07-13 21:14:32,9.339000000000002,7,10,93.39000000000001,4,4,4,12,Чемпионы,39637.149999999994,0.75446635654677,C,0.7628830440743615,Z
